enddate,startdate,ratio,meandayratio,2011ratio,2012ratio,2013ratio,2014ratio,2015ratio,2016ratio,2017ratio,yearratio,mdd,mdddate,RRR,sharpratio,Hedge
20170217,20111027,-4.274502998650995,-0.0032947854791871532,-0.370842142764779,-0.7707517251117162,-0.81090620626914,-0.8255516008858219,0.09936883358385629,-1.3888829398332214,-0.1761179159122292,-0.8363158040838903,4.421754972607513,20111101,-0.1891366231880357,-1.7646310480734624,NoHedge
20170217,20111027,-2.346358730279488,-0.0018013651903399039,-0.11252525016171364,-0.4317568930504023,-0.3773199051210143,-0.6301206211133946,-0.015441489605764074,-0.6482243618552664,-0.10476984425024707,-0.45907018635903024,2.397428949629831,20111101,-0.1914843759728153,-1.6829605907595557,Hedge300
20170217,20111027,-2.490830392594166,-0.0019144249798265724,-0.09127728441058294,-0.4011929113266605,-0.49605560327195064,-0.5869428487908814,-0.17862038186687954,-0.6196362882005725,-0.09205405614909626,-0.4873363811597281,2.5410577107671988,20111101,-0.19178485364371792,-1.7169857618997657,Hedge500
20170217,20111027,-1.5066005208761024,-0.001157756886760193,-0.1268695637008841,-0.2836989369159405,-0.34310087858854466,-0.47935610987366395,0.29527179920656477,-0.47926670120414977,-0.07417047907051184,-0.29476966712793307,1.5880273469498267,20111101,-0.18562001951295504,-1.1451791606017092,HedgeCTA1
